id,university,country,city,continent,latitude,longitude,location_source
232,Cornell University,United States,Ithaca,North America,42.447576,-76.476089,CBS MoveON snapshot 2026-09-21
233,Cornell University,United States,Ithaca,North America,42.447576,-76.476089,CBS MoveON snapshot 2026-09-21
234,Emory University,United States,Atlanta,North America,33.791111,-84.323333,CBS MoveON snapshot 2026-09-21
235,George Washington University,United States,"Washington, D.C.",North America,47.658345,-122.303017,CBS MoveON snapshot 2026-09-21
236,Indiana University,United States,Bloomington,North America,39.166757,-86.526944,CBS MoveON snapshot 2026-09-21
237,New York University,United States,New York City,North America,40.729427,-73.997318,CBS MoveON snapshot 2026-09-21
238,North Carolina State University,United States,Raleigh,North America,35.784344,-78.662501,CBS MoveON snapshot 2026-09-21
239,Ohio State University,United States,Columbus,North America,40.075893,-83.072609,CBS MoveON snapshot 2026-09-21
240,Purdue University,United States,West Lafayette,North America,40.431195,-86.914246,CBS MoveON snapshot 2026-09-21
241,"State University of New York, Stony Brook",United States,Stony Brook,North America,40.90902,-73.115446,CBS MoveON snapshot 2026-09-21
242,Texas A&M University,United States,College Station,North America,30.618647,-96.336051,CBS MoveON snapshot 2026-09-21
243,Tulane University,United States,New Orleans,North America,29.935388,-90.122675,CBS MoveON snapshot 2026-09-21
244,University of Hawaii at Manoa,United States,Honolulu,North America,21.299811,-157.819575,CBS MoveON snapshot 2026-09-21
245,University of Maryland,United States,College Park,North America,38.988253,-76.939049,CBS MoveON snapshot 2026-09-21
246,University of Michigan,United States,Ann Arbor,North America,42.276426,-83.739164,CBS MoveON snapshot 2026-09-21
247,"University of Minnesota, Twin Cities",United States,Minneapolis,North America,44.975354,-93.233074,CBS MoveON snapshot 2026-09-21
248,University of North Carolina at Chapel Hill,United States,Chapel Hill,North America,35.96721,-78.945769,CBS MoveON snapshot 2026-09-21
249,University of Pennsylvania,United States,Philadelphia,North America,39.948896,-75.189687,CBS MoveON snapshot 2026-09-21
250,University of Richmond,United States,Richmond,North America,37.57317,-77.537943,CBS MoveON snapshot 2026-09-21
251,University of South Carolina,United States,Columbia,North America,33.999949,-81.027401,CBS MoveON snapshot 2026-09-21
